,recommendation_set_id,user_id,session_id,query_identifier,query_word_count,query_char_count,query_detected_language,query_document_id,document_language_provided,year_published,number_of_authors,abstract_word_count,abstract_char_count,abstract_detected_language,first_author_id,num_pubs_by_first_author,organization_id,application_type,item_type,request_received,hour_request_received,response_delivered,rec_processing_time,app_version,app_lang,user_os,user_os_version,user_java_version,user_timezone,country_by_ip,timezone_by_ip,local_time_of_request,local_hour_of_request,number_of_recs_in_set,recommendation_algorithm_id_used,algorithm_class,cbf_parser,search_title,search_keywords,search_abstract,time_recs_recieved,time_recs_displayed,time_recs_viewed,clicks,ctr,set_clicked
10,46910,\N,\N,Withheld for privacy,21,140,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,03/12/2018 16:32,16,03/12/2018 16:32,1.0485200000000001,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
37,46945,\N,\N,Withheld for privacy,7,53,en,12415795,\N,2013,\N,158,1114,en,\N,\N,1,digital_library,academic_publication,03/12/2018 16:58,16,03/12/2018 16:58,2.15062,4.3.1,en,\N,\N,\N,\N,DE,Europe/Berlin,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
162,47072,\N,\N,Withheld for privacy,3,16,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,03/12/2018 19:24,19,03/12/2018 19:24,1.12954,4.3.1,en,\N,\N,\N,\N,CN,Asia/Shanghai,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
219,47129,\N,\N,Withheld for privacy,12,97,en,11436354,\N,2016,2,132,858,en,5410335,74,1,digital_library,academic_publication,03/12/2018 20:51,20,03/12/2018 20:51,2.98805,4.3.1,en,\N,\N,\N,\N,CA,America/Toronto,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
259,47169,\N,\N,Withheld for privacy,5,38,en,79858838,\N,1997,2,\N,\N,\N,1028729,178,1,digital_library,academic_publication,03/12/2018 22:00,22,03/12/2018 22:00,2.44481,4.3.1,en,\N,\N,\N,\N,GB,Europe/London,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,4,0.5714,1
317,47228,\N,\N,Withheld for privacy,2,15,pl,13573920,\N,2011,2,47,315,en,3062885,170,1,digital_library,academic_publication,04/12/2018 00:05,0,04/12/2018 00:05,0.189106,4.3.1,en,\N,\N,\N,\N,DE,\N,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
322,47234,\N,\N,Withheld for privacy,14,87,fr,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 00:11,0,04/12/2018 00:11,0.545293,4.3.1,en,\N,\N,\N,\N,BR,America/Sao_Paulo,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
323,47235,\N,\N,Withheld for privacy,7,45,af,11302060,en,2014,1,91,687,en,464685,120,1,digital_library,academic_publication,04/12/2018 00:16,0,04/12/2018 00:16,2.04841,4.1,en,\N,\N,\N,\N,AU,Australia/Adelaide,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
351,47264,\N,\N,Withheld for privacy,5,31,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 01:11,1,04/12/2018 01:11,1.51332,4.3.1,en,\N,\N,\N,\N,US,America/Los_Angeles,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,3,0.4286,1
398,47313,\N,\N,Withheld for privacy,3,26,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 02:49,2,04/12/2018 02:49,0.13586199999999998,4.3.1,en,\N,\N,\N,\N,AU,Australia/Brisbane,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
484,47403,\N,\N,Withheld for privacy,4,24,da,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 06:44,6,04/12/2018 06:44,0.252896,4.3.1,en,\N,\N,\N,\N,US,America/Indiana/Indianapolis,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,2,0.2857,1
528,47447,\N,\N,Withheld for privacy,8,55,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,04/12/2018 08:27,8,04/12/2018 08:27,1.95016,4.2,en,\N,\N,\N,\N,ZA,Africa/Johannesburg,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
